cluster,pdb_a,asm_a,chain_a,conf_label_a,pdb_b,asm_b,chain_b,conf_label_b
3ZGH_1,3zgh,1,A1,1,5jui,1,A1,0
4C9B_1,2j0u,2,B1,1,4c9b,1,A1,2
4DJC_1,4e53,1,A1,14,7wr3,1,C1,4
4DJC_1,4e53,1,A1,14,5wsu,1,A1,7
4DJC_1,4e53,1,A1,14,7vmb,1,C1,13
4DJC_1,4e50,1,A1,9,7wr3,1,C1,4
4DJC_1,4e50,1,A1,9,5wsu,1,A1,7
4DJC_1,4e50,1,A1,9,7vmb,1,C1,13
4F01_1,4f01,1,A1,0,4jwe,2,B1,2
4F01_1,4f01,1,A1,0,4jwi,2,B1,2
4F01_1,4f01,1,A1,0,4ezo,1,B1,2
4F01_1,4f01,1,A1,0,4hyb,2,B1,2
4F01_1,4f01,1,A1,0,4ezp,1,B1,2
4F01_1,4f01,1,A1,0,3dpo,3,B1,2
4K0N_1,1k0m,1,A1,0,1rk4,1,A1,1
4KT6_2,3qb2,1,A1,0,4kt6,1,B1,1
4P9T_1,4p9t,1,C1,1,4ons,1,A1,0
4QIC_1,5uxw,1,A1,1,4qic,1,A1,0
4ZIE_1,5w60,1,A1,1,4bd6,1,A1,0
4ZIE_1,5w60,1,A1,1,4zif,1,A1,0
4ZIE_1,5w60,1,A1,1,4zig,1,A1,0
4ZIE_1,5w60,1,A1,1,4zii,1,A1,0
5ANR_2,4ct5,1,A1,1,4ct4,1,B1,0
5ANR_2,4ct5,1,A1,1,4ct4,2,D1,0
5CRB_1,5crc,1,A1,1,6wtg,1,A1,0
5CRW_1,3wt2,1,A1,1,5crw,1,A1,0
5H3J_1,3rle,1,A1,0,5gmj,1,A1,1
5H3J_1,3rle,1,A1,0,5gmi,1,A1,1
5H3J_1,3rle,1,A1,0,5gml,1,A1,1
5J3T_2,2a6t,1,A1,1,5j3t,1,B1,4
5LC2_1,5lc2,1,A1,1,5lc4,1,A1,0
5LHR_1,5lhs,1,B1,1,6a8n,1,A1,0
5LHR_1,5lhs,1,B1,1,6a8g,1,A1,0
5UFK_1,5ufk,1,A1,0,5uf5,1,B1,1
5VFA_1,5vfa,1,A1,1,5u8m,1,A1,0
5VX1_1,2jcn,1,A1,0,4u2u,1,A1,3
5VX1_1,2jcn,1,A1,0,5vwx,1,A1,5
5VX1_1,2jcn,1,A1,0,4u2u,1,B1,6
5XLY_1,5y4s,1,A1,0,5xly,1,A1,1
5XLY_1,5y4s,1,A1,0,5y4r,1,A1,1
5YQQ_1,5ys0,3,C1,0,5yqq,1,A1,1
6AKQ_1,6akq,1,A1,1,6al0,1,A1,0
6BCD_1,6nif,1,A1,1,6kto,1,B1,0
6DKK_1,6mhj,1,A1,1,6dkk,1,A1,0
6I7S_1,4ekz,1,A1,2,7zsc,1,C1,0
6IN9_1,6in8,1,A1,1,6in9,1,A1,0
6IN9_1,6in8,1,A1,1,6jau,1,A1,0
6K11_1,6k11,1,A1,1,6lw4,1,A1,0
6P4W_1,5tnu,1,A1,2,6p4o,1,A1,0
6P4W_1,5tnu,1,A1,2,6p4w,1,A1,3
6P4W_1,5tnu,2,B1,4,6p4o,1,A1,0
6P4W_1,5tnu,2,B1,4,6p4w,1,A1,3
6SLO_1,6slo,1,A1,0,3dxb,1,F1,4
6SLO_1,6slo,2,B1,2,3dxb,1,F1,4
6T9M_1,6t9m,1,AAA1,1,6tsb,1,AAA1,0
6UBO_1,7l5l,1,A1,0,6ukk,1,A1,1
6VBG_1,1pv7,1,A1,0,4oaa,1,A1,1
7DKL_1,7dkl,1,A1,1,7ped,1,B1,0
7E15_1,5ght,1,A1,2,5ghs,1,A1,0
7E15_1,5ght,1,A1,2,7e15,1,A1,1
7F4R_1,7f4r,1,A1,1,7f4s,1,A1,0
7F4R_1,7f4r,1,A1,1,7f4o,1,A1,0
7F4R_1,7f4r,1,A1,1,7f4l,1,C1,0
7LVM_1,7lvm,1,A1,0,5h33,1,A1,1
7NFU_1,7nfu,1,A1,0,7ng0,1,A1,1
7OEC_1,7oec,1,A1,1,5bkh,1,A1,0
7SNX_1,7sny,1,A1,0,7snx,1,A1,1
7UDL_1,7udn,1,A1,0,7udl,1,A1,1
7UYG_1,7uyg,1,A1,0,7uyh,1,A1,1
7YZ9_1,4p2f,1,A1,1,4p2x,1,B1,0
8BLU_1,8blu,1,A1,2,6r9h,2,B1,1
8CHT_1,8cht,1,A1,0,8chu,1,B1,1
8G0K_1,8fzy,1,A1,0,8g0k,1,A1,1
8HM3_2,8hm4,2,B1,1,8hm3,1,B1,0
8HM3_2,8hm4,2,B1,1,8hm3,2,D1,0
8HM3_2,8hm4,1,A1,2,8hm3,1,B1,0
8HM3_2,8hm4,1,A1,2,8hm3,2,D1,0
8TRS_2,8ts5,2,C1,1,8trt,1,G1,0
8XX1_1,1nxk,1,A1,1,2onl,1,C1,0
9H9O_1,2xbf,1,A1,1,2xbb,1,A1,0
9H9O_1,2xbf,1,A1,1,5c7j,1,A1,0
