cluster,pdb_a,asm_a,chain_a,conf_label_a,pdb_b,asm_b,chain_b,conf_label_b
4LAY_1,1q1c,1,A1,0,4law,2,B1,2
4LAY_1,4lav,1,A1,1,4law,2,B1,2
4P0G_1,5a5x,1,A1,0,4p11,1,A1,1
4R7V_1,4r7x,1,A1,0,4r7v,1,A1,1
4RH8_1,4rh8,1,A1,0,4nhr,1,A1,1
4UD4_1,4e8f,2,B1,0,4ud4,1,A1,1
4X5P_1,6gtw,3,C1,0,5mca,1,A1,1
5CRW_1,3wt1,1,A1,0,3wt2,1,A1,1
5E31_1,8f3t,1,A1,0,5e31,1,A1,1
5EHR_1,6cmp,1,A1,0,6crf,1,A1,1
5IC0_1,5ic1,1,A1,0,5ic0,1,A1,1
5IIT_1,5iit,1,A1,0,5lnc,2,B1,1
5IIT_1,5iit,1,A1,0,5lnc,1,A1,2
5IIT_1,5lnc,2,B1,1,5lnc,1,A1,2
5KCN_1,5vat,2,B1,0,5vbg,1,A1,1
5LJ8_1,5c59,1,A1,0,5lj8,1,A1,1
5WBW_1,5wbw,1,A1,0,6amn,1,A1,1
5WBW_1,5wbw,1,A1,0,5wbw,3,D1,2
5WBW_1,6amn,1,A1,1,5wbw,3,D1,2
5WU3_1,5wu5,1,A1,0,5wu1,1,A1,1
5XCC_1,6ixy,1,A1,0,5xcc,1,A1,1
5XSO_1,5xt2,1,A1,0,5xt2,5,E1,1
5XSO_1,5xt2,1,A1,0,5xso,1,A1,2
5YU5_1,5yu5,1,A1,0,5yxo,1,A1,1
6EFR_1,6efr,1,A1,0,7s7v,1,A1,1
6EFR_1,6efr,1,A1,0,7s7u,1,A1,2
6HA7_2,6ha7,2,C1,0,2w51,1,A1,1
6I7S_1,4el1,1,A1,0,4ekz,1,A1,2
6LGV_1,7cyg,1,A1,0,4n7x,1,A1,1
6LJY_1,6kwj,1,B1,0,6ljy,1,O1,1
6NK3_1,6jo7,2,B1,0,6jo7,1,A1,1
6O1W_1,6o1x,2,B1,0,6o1z,1,A1,1
6P4W_1,5tnu,1,A1,2,5tnu,2,B1,4
6SPV_1,3gsl,2,B1,1,6spv,1,A1,2
6SPV_1,3gsl,2,B1,1,3gsl,1,A1,3
6SPV_1,6spv,1,A1,2,3gsl,1,A1,3
6UHS_1,6uhi,1,A1,0,6uhs,1,A1,1
6ZVZ_1,6zvz,2,B1,0,6zvz,3,C1,1
7B7Z_2,6i7j,1,A1,0,6i7l,1,A1,1
7EL5_1,7el5,1,A1,0,5xgp,1,A1,1
7GEF_1,2h2z,1,A1,0,2qcy,1,A1,2
7LB1_1,1eqf,1,A1,0,7k6f,1,A1,1
7LOG_1,7dws,1,A1,0,3guo,1,A1,1
7OYW_1,6yeb,1,A1,0,6yed,1,A1,1
7VEV_1,7ver,1,A1,0,7vet,2,B1,1
7W8I_1,7w8i,1,A1,0,7w8b,1,A1,1
7XY8_1,3b5h,1,A1,0,3b5h,4,D1,1
7XY8_1,3b5h,1,A1,0,3b5h,3,C1,3
7XY8_1,3b5h,4,D1,1,3b5h,3,C1,3
7YZ9_1,4p2m,2,B1,0,4p2f,1,A1,1
7YZ9_1,4p2m,2,B1,0,4p2m,1,A1,2
7YZ9_1,4p2f,1,A1,1,4p2m,1,A1,2
8ABP_1,2wrz,2,B1,1,2wrz,1,A1,2
8FQ9_1,4m64,2,B1,0,4m64,1,A1,1
8HM3_2,8hm4,2,B1,1,8hm4,1,A1,2
9DOC_1,8fzu,1,A1,0,7n1o,1,A1,1
9DOC_1,8fzu,1,A1,0,8ft6,1,A1,2
9DOC_1,8fzu,1,A1,0,8fzv,1,A1,3
9DOC_1,8fzu,1,A1,0,8fzv,2,B1,4
9DOC_1,7n1o,1,A1,1,8ft6,1,A1,2
9DOC_1,7n1o,1,A1,1,8fzv,2,B1,4
9DOC_1,8ft6,1,A1,2,8fzv,1,A1,3
9DOC_1,8fzv,1,A1,3,8fzv,2,B1,4
