cluster,pdb_a,asm_a,chain_a,conf_label_a,pdb_b,asm_b,chain_b,conf_label_b
3F9M_1,1v4t,1,A1,0,4mle,1,A1,1
3F9M_1,1v4t,1,A1,0,3h1v,1,X1,1
3F9M_1,1v4t,1,A1,0,3qic,1,A1,1
3F9M_1,1v4t,1,A1,0,4rch,1,A1,1
3F9M_1,1v4t,1,A1,0,3fr0,1,A1,1
3F9M_1,1v4t,1,A1,0,4mlh,1,A1,1
3F9M_1,1v4t,1,A1,0,3vev,1,A1,1
3F9M_1,1v4t,1,A1,0,3vf6,1,A1,1
3F9M_1,1v4t,1,A1,0,3vey,1,A1,1
3F9M_1,1v4t,1,A1,0,4l3q,1,A1,1
3F9M_1,1v4t,1,A1,0,3a0i,1,X1,1
3F9M_1,1v4t,1,A1,0,4ixc,1,A1,1
3F9M_1,1v4t,1,A1,0,4iwv,1,A1,1
3F9M_1,1v4t,1,A1,0,4no7,1,A1,1
3F9M_1,1v4t,1,A1,0,3s41,1,A1,1
3F9M_1,1v4t,1,A1,0,6e0e,1,A1,1
3F9M_1,1v4t,1,A1,0,6e0i,1,A1,1
3F9M_1,1v4t,1,A1,0,4isg,1,A1,2
3F9M_1,1v4t,1,A1,0,4dch,1,A1,2
3F9M_1,1v4t,1,A1,0,5v4w,1,A1,2
3F9M_1,1v4t,1,A1,0,5v4x,1,A1,2
3F9M_1,1v4t,1,A1,0,4ise,1,A1,2
3F9M_1,1v4t,1,A1,0,4isf,1,A1,2
3F9M_1,1v4t,1,A1,0,3id8,1,A1,1
3F9M_1,1v4t,1,A1,0,3idh,1,A1,1
3F9M_1,1v4t,1,A1,0,3fgu,1,A1,1
3KHX_1,3khx,1,A1,0,3ki9,1,A1,1
3M9W_1,3m9w,1,A1,1,3ma0,1,A1,0
3NI2_1,3a9u,1,A1,1,3ni2,1,A1,0
3NI2_1,3a9u,1,A1,1,3a9v,1,A1,0
3NYV_1,3i79,1,A1,0,4ieb,1,A1,1
3OO8_1,3oo9,1,A1,0,3oo6,1,A1,1
3PNA_1,3iia,1,A1,1,3plq,1,A1,0
3QKT_1,4nck,1,A1,0,4ncj,1,A1,1
3SLH_1,3roi,1,A1,1,3slh,1,A1,0
3SLH_1,3roi,1,A1,1,3slh,2,B1,0
3SLH_1,3roi,1,A1,1,4znd,1,A1,0
3SLH_1,3roi,1,A1,1,3tr1,1,A1,0
3TDN_1,4j9j,1,A1,1,4fx7,1,A1,0
3TTM_1,3ttk,1,A1,0,3ttm,1,A1,1
3W4T_1,6fhz,1,A1,1,6hfb,3,C1,0
3W4T_1,6fhz,1,A1,1,3vvp,1,A1,0
4DJC_1,4e53,1,A1,14,6o5g,1,A1,11
4DJC_1,4e53,1,A1,14,6eeb,1,A1,11
4DJC_1,4e50,1,A1,9,6o5g,1,A1,11
4DJC_1,4e50,1,A1,9,6eeb,1,A1,11
4GC0_1,4qiq,1,A1,0,4gc0,1,A1,1
4GC0_1,4qiq,1,A1,0,4gby,1,A1,1
4GC0_1,4qiq,1,A1,0,4gbz,1,A1,1
4KBF_1,4kbg,2,B1,0,4kbf,1,A1,2
4KBF_1,4kbf,2,B1,1,4kbf,1,A1,2
4LA9_1,4la9,1,A1,0,6fxg,1,A1,1
4N3S_1,4n3s,1,A1,0,4ncf,2,B1,1
4NU0_1,4ntz,1,A1,0,4nu0,1,A1,1
4POW_1,4p0i,1,A1,1,4pow,1,A1,0
4POW_1,4p0i,1,A1,1,5itp,1,A1,0
4POW_1,4p0i,1,A1,1,5ovz,1,A1,0
4POW_1,4p0i,1,A1,1,5ota,1,A1,0
4POW_1,4p0i,1,A1,1,5otc,1,A1,0
4POW_1,4p0i,1,A1,1,5ot9,1,A1,0
4QFL_1,4qfk,1,H1,1,4qfl,1,A1,0
4QFL_1,4qfk,1,H1,1,4qfp,1,A1,0
4QFL_1,4qfk,1,H1,1,4qfo,1,A1,0
4QFL_1,4qfk,1,H1,1,4qfn,1,A1,0
4R75_1,4r72,1,A1,1,4r75,1,A1,0
4R75_1,4r72,1,A1,1,4r74,1,A1,0
4R75_1,4r72,1,A1,1,4r74,2,B1,0
4R75_1,4r72,1,A1,1,4r74,4,D1,0
4R75_1,4r72,1,A1,1,4r73,1,A1,0
4TOZ_1,4toz,1,A1,0,3o9p,1,A1,1
4UD4_1,4e8f,2,B1,0,4e80,3,C1,1
4UD4_1,4e8f,2,B1,0,4ep7,2,B1,1
4UD4_1,4e8f,2,B1,0,4fhy,1,A1,1
4UD4_1,4e8f,2,B1,0,4fhv,1,A1,1
4UD4_1,4e8f,2,B1,0,4fhw,1,A1,1
4X5P_1,5mca,1,A1,1,4x5p,1,A1,0
4X5P_1,5mca,1,A1,1,6gty,1,A1,0
4X5P_1,5mca,1,A1,1,6gtw,2,B1,0
4X5P_1,5mca,1,A1,1,5muc,1,A1,0
4X5P_1,5mca,1,A1,1,4x5r,1,A1,0
4X5P_1,5mca,1,A1,1,4x5q,1,A1,0
4X5P_1,5mca,1,A1,1,4x50,1,A1,0
4X5P_1,5mca,1,A1,1,5abz,1,A1,0
4X5P_1,5mca,1,A1,1,3mcy,1,A1,0
4X5P_1,5mca,1,A1,1,4av5,1,A1,0
4X5P_1,5mca,1,A1,1,4av0,1,A1,0
4X5P_1,5mca,1,A1,1,4av4,1,A1,0
4X5P_1,5mca,1,A1,1,4att,1,A1,0
4X5P_1,5mca,1,A1,1,3zl2,1,A1,0
4X5P_1,5mca,1,A1,1,6g2s,1,A1,0
4X5P_1,5mca,1,A1,1,6g2r,1,A1,0
4X5P_1,5mca,1,A1,1,5l4t,1,A1,0
4X5P_1,5mca,1,A1,1,5l4u,1,A1,0
4X5P_1,5mca,1,A1,1,5l4v,1,A1,0
4X5P_1,5mca,1,A1,1,5l4w,1,A1,0
4X5P_1,5mca,1,A1,1,5l4x,1,A1,0
4X5P_1,5mca,1,A1,1,5l4y,1,A1,0
4X5P_1,5mca,1,A1,1,4xoc,1,A1,0
4X5P_1,5mca,1,A1,1,4avh,1,A1,0
4X5P_1,5mca,1,A1,1,4avi,1,A1,0
4X5P_1,5mca,1,A1,1,4avj,1,A1,0
4X5P_1,5mca,1,A1,1,4avk,1,A1,0
4X5P_1,5mca,1,A1,1,7ayn,1,A1,0
4X5P_1,5mca,1,A1,1,8bvd,1,A1,0
4X5P_1,5mca,1,A1,1,5aal,1,A1,0
4X5P_1,5mca,1,A1,1,5f3f,1,A1,0
4X5P_1,5mca,1,A1,1,5aap,1,A1,0
4X5P_1,5mca,1,A1,1,1uwf,1,A1,0
4X5P_1,5mca,1,A1,1,4css,1,A1,0
4X5P_1,5mca,1,A1,1,4cst,1,A1,0
4X5P_1,5mca,1,A1,1,5f2f,1,A1,0
4X5P_1,5mca,1,A1,1,1tr7,2,A1,0
4X5P_1,5mca,1,A1,1,5jcq,1,A1,0
4X5P_1,5mca,1,A1,1,5cgb,1,A1,0
4X5P_1,5mca,1,A1,1,8bxy,1,A1,0
4X5P_1,5mca,1,A1,1,8bxy,2,B1,0
4X5P_1,5mca,1,A1,1,4auj,1,A1,0
4XE7_1,4xe7,1,A1,1,4xhn,1,A1,0
5DRB_1,6cn9,2,B1,0,5we8,2,B1,1
5EHR_1,6crf,1,A1,1,5ehr,1,A1,0
5EHR_1,6crf,1,A1,1,6wu8,1,A1,0
5EHR_1,6crf,1,A1,1,8cbh,1,A1,0
5EHR_1,6crf,1,A1,1,7jvn,1,A1,0
5EHR_1,6crf,1,A1,1,7jvm,1,A1,0
5EHR_1,6crf,1,A1,1,7rct,1,B1,0
5EHR_1,6crf,1,A1,1,8rzy,1,A1,0
5EHR_1,6crf,1,A1,1,8rzw,1,A1,0
5EHR_1,6crf,1,A1,1,7xhq,1,A1,0
5EHR_1,6crf,1,A1,1,8s01,1,A1,0
5EHR_1,6crf,1,A1,1,7vxg,1,A1,0
5EHR_1,6crf,1,A1,1,8s06,1,A1,0
5EHR_1,6crf,1,A1,1,8s07,1,A1,0
5EHR_1,6crf,1,A1,1,8s04,1,A1,0
5EHR_1,6crf,1,A1,1,8s0i,1,A1,0
5EHR_1,6crf,1,A1,1,8s0j,1,A1,0
5EHR_1,6crf,1,A1,1,8s0h,1,A1,0
5EHR_1,6crf,1,A1,1,7r75,1,A1,0
5EHR_1,6crf,1,A1,1,5ehp,1,A1,0
5EHR_1,6crf,1,A1,1,8s0k,1,A1,0
5EHR_1,6crf,1,A1,1,6bmr,1,A1,0
5EHR_1,6crf,1,A1,1,6bn5,1,A1,0
5EHR_1,6crf,1,A1,1,8t8q,1,A1,0
5EHR_1,6crf,1,A1,1,8t7q,1,A1,0
5EHR_1,6crf,1,A1,1,8t6g,1,A1,0
5EHR_1,6crf,1,A1,1,8t6d,1,A1,0
5EHR_1,6crf,1,A1,1,8gww,1,A1,0
5EHR_1,6crf,1,A1,1,7r7i,1,A1,0
5EHR_1,6crf,1,A1,1,7r7l,1,A1,0
5EHR_1,6crf,1,A1,1,8s0o,1,A1,0
5EHR_1,6crf,1,A1,1,8s0p,1,A1,0
5EHR_1,6crf,1,A1,1,8s0s,1,A1,0
5EHR_1,6crf,1,A1,1,7r7d,1,A1,0
5EHR_1,6crf,1,A1,1,8s0q,1,A1,0
5EHR_1,6crf,1,A1,1,8b5y,1,A1,0
5EHR_1,6crf,1,A1,1,6bmu,1,A1,0
5EHR_1,6crf,1,A1,1,6bmv,1,A1,0
5EHR_1,6crf,1,A1,1,6bmw,1,A1,0
5EHR_1,6crf,1,A1,1,6bmx,1,A1,0
5EHR_1,6crf,1,A1,1,6bmy,1,A1,0
5EHR_1,6crf,1,A1,1,6mda,1,A1,0
5EHR_1,6crf,1,A1,1,6mdb,1,A1,0
5EHR_1,6crf,1,A1,1,6mdc,1,A1,0
5EHR_1,6crf,1,A1,1,5xzr,1,A1,0
5EHR_1,6crf,1,A1,1,6md7,1,A1,0
5EHR_1,6crf,1,A1,1,6md9,1,A1,0
5EHR_1,6crf,1,A1,1,6mdd,1,A1,0
5JGK_1,5jgj,1,A1,0,5jgl,1,A1,1
5KEC_1,5kec,1,A1,1,5ejl,1,A1,0
5L9G_1,5l9p,1,A1,1,5l9g,1,A1,0
5L9G_1,5l9p,1,A1,1,5l9i,1,A1,0
5L9G_1,5l9p,1,A1,1,5l9i,2,B1,0
5L9G_1,5l9p,1,A1,1,5l9l,1,A1,0
5L9G_1,5l9p,1,A1,1,5l9l,2,B1,0
5L9G_1,5l9p,1,A1,1,6tg2,1,A1,0
5L9G_1,5l9p,1,A1,1,6tg2,2,B1,0
5L9G_1,5l9p,1,A1,1,6tg2,3,C1,0
5L9G_1,5l9p,1,A1,1,6tg3,1,A1,0
5NRH_1,4egq,1,A1,0,5nrh,2,B1,1
5O37_1,5o2k,1,D1,0,5o37,1,A1,1
5O37_1,5o2k,1,D1,0,5o2j,1,A1,1
5ON8_1,2noo,1,A1,1,3e3k,2,B1,0
5YHG_1,5yh5,1,A1,1,5yhe,2,B1,0
5YHG_1,5yh5,1,A1,1,5yh8,1,A1,0
5Z6B_1,4r6k,1,A1,0,5z6b,1,A1,1
5ZQM_1,5zql,1,B1,0,5zqm,1,A1,1
5ZU5_1,5zu5,1,A1,1,7w12,1,A1,0
6DTU_1,2ghb,1,A1,1,6dtu,1,A1,0
6DTU_1,2ghb,1,A1,1,2gha,1,A1,0
6EFR_1,6efr,1,A1,0,7s7t,1,A1,2
6FT2_1,6mld,1,A1,0,6ft2,1,A1,1
6GGP_1,6ggp,1,A1,2,6svf,1,A1,1
6GHT_1,6ghq,1,A1,1,6ght,1,A1,0
6GHT_1,6ghq,1,A1,1,5me4,1,A1,0
6GHT_1,6ghq,1,A1,1,6emn,1,A1,0
6HNI_1,6hnj,1,A1,0,6hni,1,A1,1
6JAL_1,6jal,1,A1,1,6jah,1,A1,0
6JAL_1,6jal,1,A1,1,6jb0,1,A1,0
6JAL_1,6jal,1,A1,1,6jao,1,A1,0
6JAL_1,6jal,1,A1,1,6jbe,1,A1,0
6JAL_1,6jal,1,A1,1,6jaq,1,A1,0
6JAL_1,6jal,1,A1,1,6jap,1,A1,0
6JAL_1,6jal,1,A1,1,6j9y,1,A1,0
6JAL_1,6jal,1,A1,1,6jb4,1,A1,0
6OJA_1,6cva,1,A1,1,6dzx,1,A1,0
6OJA_1,6cva,1,A1,1,3ir1,1,A1,0
6RVQ_1,6rvm,1,A1,2,5mn5,1,A1,0
6RVQ_1,6rvm,1,A1,2,4m8i,1,A1,0
6RVQ_1,6rvm,1,A1,2,7omp,1,A1,0
6RVQ_1,6rvm,1,A1,2,7omq,1,A1,0
6RVQ_1,6rvm,1,A1,2,6rvq,1,A1,0
6RVQ_1,6rvm,1,A1,2,6yd1,1,A1,0
6RVQ_1,6rvm,1,A1,2,6yd5,1,A1,0
6RVQ_1,6rvm,1,A1,2,6yd6,1,A1,0
6RVQ_1,6rvm,1,A1,2,7ohk,1,A1,0
6RVQ_1,6rvm,1,A1,2,7ohl,1,A1,0
6RVQ_1,6rvm,1,A1,2,7ohn,1,A1,0
6RVQ_1,6rvm,1,A1,2,7ohh,1,A1,0
6RVQ_1,6rvm,1,A1,2,6kvp,1,A1,0
6RVQ_1,6rvm,1,A1,2,6kvq,1,A1,0
6RVQ_1,6rvm,1,A1,2,7ojz,1,A1,0
6RVQ_1,6rvm,1,A1,2,7omj,1,A1,0
6RVQ_1,6rvm,1,A1,2,3vob,1,A1,0
6RVQ_1,6rvm,1,A1,2,7on2,1,A1,0
6RVQ_1,6rvm,1,A1,2,5xdt,1,A1,0
6YVR_1,6z66,1,AAA1,0,6z4q,1,AAA1,1
6YVR_1,6z66,1,AAA1,0,6zin,1,AAA1,1
6YVR_1,6z66,1,AAA1,0,6z4s,1,AAA1,3
7B61_1,7b6m,1,A1,0,1e8c,1,A1,1
7CKJ_1,3w90,1,A1,0,7ckj,1,A1,1
7CKJ_1,3w90,1,A1,0,3akd,1,A1,1
7CKJ_1,3w90,1,A1,0,3akc,1,A1,1
7EHU_1,7eho,1,A1,0,7ehu,1,A1,1
7EHU_1,7eho,1,A1,0,7ehq,1,A1,1
7LOG_1,7dws,1,A1,0,3gui,1,A1,1
7LOG_1,7dws,1,A1,0,7lxa,1,A1,1
7LOG_1,7dws,1,A1,0,5xpf,1,A1,1
7LOG_1,7dws,1,A1,0,7loa,1,A1,1
7LOG_1,7dws,1,A1,0,7log,1,A1,1
7LOG_1,7dws,1,A1,0,7loc,1,A1,1
7LOG_1,7dws,1,A1,0,7lob,1,A1,1
7LOG_1,7dws,1,A1,0,7loe,1,A1,1
7LOG_1,7dws,1,A1,0,7lod,1,A1,1
7LOG_1,7dws,1,A1,0,2ray,1,X1,1
7LOG_1,7dws,1,A1,0,4w57,1,A1,1
7LOG_1,7dws,1,A1,0,4w56,1,A1,1
7LOG_1,7dws,1,A1,0,4w59,1,A1,1
7LOG_1,7dws,1,A1,0,2rb0,1,X1,1
7LOG_1,7dws,1,A1,0,7lof,1,A1,1
7LOG_1,7dws,1,A1,0,3hh6,1,A1,1
7LOG_1,7dws,1,A1,0,3hh3,1,A1,1
7LOG_1,7dws,1,A1,0,3hh4,1,A1,1
7LOG_1,7dws,1,A1,0,3hh5,1,A1,1
7LOG_1,7dws,1,A1,0,7loj,1,A1,1
7LOG_1,7dws,1,A1,0,2rb2,1,X1,1
7LOG_1,7dws,1,A1,0,2rb1,1,X1,1
7LOG_1,7dws,1,A1,0,7lx6,1,A1,1
7LOG_1,7dws,1,A1,0,7lx7,1,A1,1
7LOG_1,7dws,1,A1,0,3dn2,1,A1,1
7LOG_1,7dws,1,A1,0,7lx8,1,A1,1
7LOG_1,7dws,1,A1,0,7lx9,1,A1,1
7LOG_1,7dws,1,A1,0,7xe7,1,A1,1
7LOG_1,7dws,1,A1,0,2ou0,1,X1,1
7LOG_1,7dws,1,A1,0,3dn1,1,A1,1
7LOG_1,7dws,1,A1,0,7l3a,1,A1,1
7LOG_1,7dws,1,A1,0,7l3b,1,A1,1
7LOG_1,7dws,1,A1,0,7l3c,1,A1,1
7LOG_1,7dws,1,A1,0,3dn6,1,A1,1
7LOG_1,7dws,1,A1,0,3dn0,1,A1,1
7LOG_1,7dws,1,A1,0,7l3k,1,A1,1
7LOG_1,7dws,1,A1,0,3dmz,1,A1,1
7LOG_1,7dws,1,A1,0,7l3e,1,A1,1
7LOG_1,7dws,1,A1,0,7l3f,1,A1,1
7LOG_1,7dws,1,A1,0,7l3g,1,A1,1
7LOG_1,7dws,1,A1,0,7l3i,1,A1,1
7LOG_1,7dws,1,A1,0,2raz,1,X1,1
7LOG_1,7dws,1,A1,0,2oty,1,X1,1
7LOG_1,7dws,1,A1,0,2otz,1,X1,1
7N8T_1,7cml,1,A1,1,7n8t,1,A1,0
7N8T_1,7cml,1,A1,1,3e7o,2,A1,0
7VEV_1,7ver,1,A1,0,7veu,1,A1,1
7VEV_1,7ver,1,A1,0,7vew,1,A1,1
7X0H_1,7x0g,1,A1,1,7x0h,1,A1,0
8C8F_1,8c8f,1,A1,2,3q27,1,A1,0
8C8F_1,8c8f,1,A1,2,3set,2,A1,0
8C8F_1,8c8f,1,A1,2,3ses,2,A1,0
8C8F_1,8c8f,1,A1,2,3ser,2,C1,0
8C8F_1,8c8f,1,A1,2,3ser,1,A1,0
8CRI_1,8cri,2,B1,0,8crj,1,A1,1
8DP6_1,8dp6,1,A1,0,8dp7,1,A1,1
8FQ9_1,4m64,2,B1,0,7l16,1,A1,3
8FQ9_1,4m64,2,B1,0,7l17,1,A1,3
8FQ9_1,4m64,1,A1,1,7l16,1,A1,3
8FQ9_1,4m64,1,A1,1,7l17,1,A1,3
8HKA_1,8hk9,2,A1,1,8hka,1,A1,0
8I5K_1,1zty,1,A1,0,8i5k,1,A1,1
8I5K_1,1zty,1,A1,0,1zu0,1,A1,1
9IK6_1,3sqj,1,A1,1,4l9q,1,A1,0
9IK6_1,3sqj,1,A1,1,4la0,1,A1,0
